Zeitstempel	Dateiname	Fehler	Meldung
2025-08-13 11:24:50.586 +0200	Webviewer-Test.fmp12	0	Importvorgänge begonnen
2025-08-13 11:27:40.173 +0200	Webviewer-Test.fmp12	0	Import von Designs aus Datei „n2n.fmp12“ begonnen
2025-08-13 11:27:40.209 +0200	Webviewer-Test.fmp12	0	Designs importiert: 1
2025-08-13 11:27:40.209 +0200	Webviewer-Test.fmp12	0	Import abgeschlossen
2025-08-13 11:27:42.942 +0200	Webviewer-Test.fmp12	0	Importvorgänge bestätigt
2025-08-13 11:27:42.942 +0200	Webviewer-Test.fmp12	0	==================================================================
2025-08-13 13:56:08.153 +0200	Webviewer-Test.fmp12	0	Import von Scriptbefehle aus Zwischenablage begonnen
2025-08-13 13:56:08.157 +0200	Hello	0	Scriptbefehle importiert: 1
2025-08-13 13:56:08.157 +0200	Webviewer-Test.fmp12	0	Import abgeschlossen
2025-08-13 13:56:11.528 +0200	Webviewer-Test.fmp12	0	Import von Scriptbefehle aus Zwischenablage begonnen
2025-08-13 13:56:11.530 +0200	Hello	0	Scriptbefehle importiert: 1
2025-08-13 13:56:11.530 +0200	Webviewer-Test.fmp12	0	Import abgeschlossen
2025-08-13 15:50:04.259 +0200	Webviewer-Test.fmp12	0	Import von Scriptbefehle aus Zwischenablage begonnen
2025-08-13 15:50:04.263 +0200	002_AddObjectInDB	0	Scriptbefehle importiert: 7
2025-08-13 15:50:04.263 +0200	Webviewer-Test.fmp12	0	Import abgeschlossen
2025-08-13 16:11:01.905 +0200	Webviewer-Test.fmp12	0	Import von Scriptbefehle aus Zwischenablage begonnen
2025-08-13 16:11:01.907 +0200	Hello	0	Scriptbefehle importiert: 1
2025-08-13 16:11:01.907 +0200	Webviewer-Test.fmp12	0	Import abgeschlossen
2025-08-13 16:11:08.345 +0200	Webviewer-Test.fmp12	0	Import von Scriptbefehle aus Zwischenablage begonnen
2025-08-13 16:11:08.347 +0200	Hello	0	Scriptbefehle importiert: 1
2025-08-13 16:11:08.347 +0200	Webviewer-Test.fmp12	0	Import abgeschlossen
